transaction_type,transaction_amount,transaction_date,transaction_note,category,subcategory
Income,586.99,2021-10-16 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,197.64,2020-01-30 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,771.96,2021-11-10 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,158.21,2021-08-27 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,36.75,2021-07-08 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Income,561.76,2021-12-30 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,128.22,2020-02-05 21:27:32.494381,Transaction for Childcare,Family,Childcare
Expense,330.34,2021-04-23 21:27:32.494381,Transaction for Childcare,Family,Childcare
Income,80.74,2019-12-26 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,376.66,2020-02-03 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,243.73,2021-07-06 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,342.01,2020-02-02 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,281.0,2019-07-14 21:27:32.494381,Transaction for Home Insurance,Insurance,Home Insurance
Expense,324.23,2020-10-22 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Income,183.56,2019-10-19 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,262.94,2020-06-10 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,739.96,2023-01-20 21:27:32.494381,Transaction for Electronics,Shopping,Electronics
Expense,945.95,2023-08-21 21:27:32.494381,Transaction for Alimony,Family,Alimony
Expense,27.99,2020-03-12 21:27:32.494381,Transaction for Tuition,Education,Tuition
Income,849.21,2020-02-12 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,812.89,2022-07-26 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,208.14,2021-03-30 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,274.56,2024-01-24 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,993.98,2019-11-27 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,186.86,2021-02-24 21:27:32.494381,Transaction for Electricity,Bill & Utilities,Electricity
Expense,917.65,2019-03-15 21:27:32.494381,Transaction for Electricity,Bill & Utilities,Electricity
Expense,740.08,2020-05-04 21:27:32.494381,Transaction for Clothing,Shopping,Clothing
Expense,230.76,2022-11-16 21:27:32.494381,Transaction for Supplies,Education,Supplies
Income,667.37,2021-01-20 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,772.92,2020-02-01 21:27:32.494381,Transaction for Electricity,Bill & Utilities,Electricity
Expense,337.15,2022-05-28 21:27:32.494381,Transaction for Child Support,Family,Child Support
Expense,722.46,2020-06-25 21:27:32.494381,Transaction for Concerts,Entertainment,Concerts
Expense,106.55,2020-06-08 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Income,168.01,2020-12-12 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,180.32,2020-10-25 21:27:32.494381,Transaction for Tuition,Education,Tuition
Income,707.53,2022-12-14 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,296.9,2023-09-22 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,708.01,2022-05-21 21:27:32.494381,Transaction for Fuel,Transportation,Fuel
Income,668.39,2022-08-07 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,886.43,2019-05-16 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,492.14,2020-11-10 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,934.9,2019-07-30 21:27:32.494381,Transaction for Water,Bill & Utilities,Water
Expense,916.96,2021-09-20 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Expense,699.36,2021-10-31 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Income,930.8,2021-03-07 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,337.02,2023-04-04 21:27:32.494381,Transaction for Fuel,Transportation,Fuel
Expense,728.46,2024-01-24 21:27:32.494381,Transaction for Water,Bill & Utilities,Water
Expense,353.62,2022-07-15 21:27:32.494381,Transaction for Stocks,Investment,Stocks
Expense,708.24,2020-09-16 21:27:32.494381,Transaction for Groceries,Food and Beverage,Groceries
Expense,901.5,2021-04-26 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Income,141.01,2021-08-05 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,897.55,2023-11-05 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,87.06,2023-01-01 21:27:32.494381,Transaction for Fuel,Transportation,Fuel
Income,476.9,2020-12-02 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,974.37,2024-01-21 21:27:32.494381,Transaction for Gym Membership,Health & Fitness,Gym Membership
Income,609.41,2021-12-03 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,596.55,2021-08-20 21:27:32.494381,Transaction for Home Insurance,Insurance,Home Insurance
Expense,386.65,2022-05-12 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Expense,330.3,2019-08-01 21:27:32.494381,Transaction for Health Insurance,Insurance,Health Insurance
Income,229.8,2021-11-27 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,512.71,2023-07-16 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,995.63,2019-10-11 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,573.12,2020-06-30 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,649.14,2019-11-01 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,522.49,2019-05-27 21:27:32.494381,Transaction for Home Insurance,Insurance,Home Insurance
Expense,873.99,2022-09-11 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Expense,57.66,2019-10-13 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Income,589.38,2019-03-07 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,766.04,2023-01-28 21:27:32.494381,Transaction for Books,Education,Books
Expense,526.6,2020-04-06 21:27:32.494381,Transaction for Electricity,Bill & Utilities,Electricity
Expense,263.38,2019-06-05 21:27:32.494381,Transaction for Health Insurance,Insurance,Health Insurance
Expense,959.04,2023-09-19 21:27:32.494381,Transaction for Mutual Funds,Investment,Mutual Funds
Expense,671.39,2021-07-27 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Expense,548.62,2020-08-27 21:27:32.494381,Transaction for Home Goods,Shopping,Home Goods
Income,63.88,2022-10-20 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,305.29,2019-11-13 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,676.93,2021-05-16 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,207.59,2023-09-22 21:27:32.494381,Transaction for Public Transport,Transportation,Public Transport
Income,235.15,2021-03-11 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,495.51,2022-10-12 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,895.01,2022-06-26 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Expense,330.33,2022-05-13 21:27:32.494381,Transaction for Health Insurance,Insurance,Health Insurance
Expense,23.87,2023-11-29 21:27:32.494381,Transaction for Vehicle Maintenance,Transportation,Vehicle Maintenance
Expense,897.81,2020-07-17 21:27:32.494381,Transaction for Fuel,Transportation,Fuel
Expense,975.65,2019-09-24 21:27:32.494381,Transaction for Stocks,Investment,Stocks
Expense,357.97,2021-12-10 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Expense,94.96,2019-12-11 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Income,642.13,2022-08-26 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,249.02,2021-04-05 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,736.54,2020-03-14 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,379.31,2021-05-21 21:27:32.494381,Transaction for Electronics,Shopping,Electronics
Expense,131.1,2021-01-09 21:27:32.494381,Transaction for Car Insurance,Insurance,Car Insurance
Income,689.76,2021-03-05 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,526.91,2022-08-18 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,550.75,2019-12-05 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,993.31,2022-03-02 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,379.92,2021-10-14 21:27:32.494381,Transaction for Bonds,Investment,Bonds
Expense,852.68,2020-06-26 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Income,523.05,2023-04-09 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,937.25,2021-02-02 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,881.27,2021-04-21 21:27:32.494381,Transaction for Public Transport,Transportation,Public Transport
Expense,945.12,2022-02-05 21:27:32.494381,Transaction for Medical Expenses,Health & Fitness,Medical Expenses
Expense,620.62,2023-10-04 21:27:32.494381,Transaction for Health Insurance,Insurance,Health Insurance
Income,729.33,2022-03-04 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,802.16,2023-07-23 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Expense,228.55,2019-09-27 21:27:32.494381,Transaction for Gym Membership,Health & Fitness,Gym Membership
Expense,806.76,2023-03-04 21:27:32.494381,Transaction for Childcare,Family,Childcare
Expense,373.0,2020-10-16 21:27:32.494381,Transaction for Water,Bill & Utilities,Water
Income,848.18,2021-01-26 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,561.81,2021-04-09 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,894.26,2021-06-01 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,92.78,2019-06-29 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,461.38,2022-12-18 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,130.62,2019-06-24 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,798.98,2022-05-09 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,253.33,2021-08-02 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,745.26,2019-07-14 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,142.39,2019-04-12 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,487.79,2019-05-10 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,939.93,2020-01-03 21:27:32.494381,Transaction for Home Insurance,Insurance,Home Insurance
Expense,210.02,2019-02-13 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Expense,810.21,2020-12-17 21:27:32.494381,Transaction for Movies,Entertainment,Movies
Income,533.89,2020-01-30 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,451.1,2020-04-03 21:27:32.494381,Transaction for Gym Membership,Health & Fitness,Gym Membership
Income,953.69,2023-06-20 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,951.2,2021-07-04 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Income,313.95,2022-01-24 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,678.81,2022-02-04 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Expense,587.97,2021-12-21 21:27:32.494381,Transaction for Childcare,Family,Childcare
Income,772.33,2021-09-13 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,855.22,2020-07-17 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,307.65,2020-09-13 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,325.77,2019-02-22 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,373.6,2024-01-26 21:27:32.494381,Transaction for Movies,Entertainment,Movies
Income,593.74,2019-03-15 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,960.55,2023-07-11 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,837.49,2019-07-23 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,246.04,2023-05-18 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,142.31,2019-05-23 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,625.04,2019-08-26 21:27:32.494381,Transaction for Gym Membership,Health & Fitness,Gym Membership
Income,974.04,2021-10-30 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,321.18,2022-04-28 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,689.02,2020-05-08 21:27:32.494381,Transaction for Restaurants,Food and Beverage,Restaurants
Income,616.15,2019-11-11 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,478.95,2021-05-29 21:27:32.494381,Transaction for Online Payment,Outgoing Transfer,Online Payment
Income,906.41,2021-03-11 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,303.46,2020-05-18 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,37.57,2021-09-24 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,307.5,2020-05-28 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,593.2,2023-11-09 21:27:32.494381,Transaction for Concerts,Entertainment,Concerts
Income,836.26,2020-06-10 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,502.99,2022-10-13 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,326.36,2022-07-07 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Expense,889.57,2020-01-21 21:27:32.494381,Transaction for Clothing,Shopping,Clothing
Expense,784.56,2020-10-08 21:27:32.494381,Transaction for Health Insurance,Insurance,Health Insurance
Income,513.1,2023-10-15 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,949.93,2024-01-26 21:27:32.494381,Transaction for Fuel,Transportation,Fuel
Income,242.06,2022-04-07 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,584.51,2022-02-07 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,771.62,2020-06-30 21:27:32.494381,Transaction for Mutual Funds,Investment,Mutual Funds
Expense,473.94,2021-02-06 21:27:32.494381,Transaction for Medical Expenses,Health & Fitness,Medical Expenses
Expense,431.24,2022-12-25 21:27:32.494381,Transaction for Stocks,Investment,Stocks
Income,614.52,2021-09-16 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,589.33,2022-03-26 21:27:32.494381,Transaction for Alimony,Family,Alimony
Expense,635.75,2021-06-15 21:27:32.494381,Transaction for Events,Entertainment,Events
Income,451.79,2022-08-27 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,739.66,2023-06-04 21:27:32.494381,Transaction for Vehicle Maintenance,Transportation,Vehicle Maintenance
Income,908.52,2022-05-29 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,557.07,2021-06-13 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,263.63,2023-03-03 21:27:32.494381,Transaction for Childcare,Family,Childcare
Expense,171.75,2023-08-12 21:27:32.494381,Transaction for Public Transport,Transportation,Public Transport
Expense,459.09,2023-02-22 21:27:32.494381,Transaction for Medical Expenses,Health & Fitness,Medical Expenses
Expense,199.79,2019-08-03 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Income,427.89,2022-11-11 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,526.26,2020-08-24 21:27:32.494381,Transaction for Books,Education,Books
Expense,941.35,2022-03-09 21:27:32.494381,Transaction for Home Insurance,Insurance,Home Insurance
Expense,472.1,2021-09-28 21:27:32.494381,Transaction for Internet,Bill & Utilities,Internet
Expense,979.87,2021-02-10 21:27:32.494381,Transaction for Public Transport,Transportation,Public Transport
Expense,649.61,2023-11-09 21:27:32.494381,Transaction for Stocks,Investment,Stocks
Expense,903.16,2023-01-07 21:27:32.494381,Transaction for Water,Bill & Utilities,Water
Expense,356.81,2022-05-01 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Income,950.53,2019-07-28 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,401.62,2023-12-12 21:27:32.494381,Transaction for Tuition,Education,Tuition
Income,868.18,2022-06-30 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,396.67,2022-03-22 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,741.82,2021-04-23 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,183.71,2022-09-20 21:27:32.494381,Transaction for Movies,Entertainment,Movies
Expense,761.13,2020-09-27 21:27:32.494381,Transaction for Medical Expenses,Health & Fitness,Medical Expenses
Expense,753.02,2019-11-29 21:27:32.494381,Transaction for Tuition,Education,Tuition
Expense,991.18,2022-01-30 21:27:32.494381,Transaction for Clothing,Shopping,Clothing
Expense,577.25,2020-05-21 21:27:32.494381,Transaction for Tuition,Education,Tuition
Expense,962.84,2019-03-07 21:27:32.494381,Transaction for Concerts,Entertainment,Concerts
Expense,129.04,2019-07-02 21:27:32.494381,Transaction for Alimony,Family,Alimony
Income,125.18,2020-11-16 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,427.02,2021-05-31 21:27:32.494381,Transaction for Internet,Bill & Utilities,Internet
Income,20.04,2022-05-03 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Income,37.72,2020-08-23 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,213.31,2023-11-28 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Income,278.31,2020-07-31 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,767.07,2022-11-02 21:27:32.494381,Transaction for Online Payment,Outgoing Transfer,Online Payment
Expense,361.79,2021-06-29 21:27:32.494381,Transaction for Fuel,Transportation,Fuel
Income,182.1,2023-06-23 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,236.46,2021-09-09 21:27:32.494381,Transaction for Supplies,Education,Supplies
Expense,589.37,2023-07-11 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Income,289.69,2021-02-15 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,688.87,2023-02-27 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,228.07,2021-10-13 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,931.2,2019-11-08 21:27:32.494381,Transaction for Vehicle Maintenance,Transportation,Vehicle Maintenance
Income,27.52,2019-03-18 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,68.05,2023-02-21 21:27:32.494381,Transaction for Public Transport,Transportation,Public Transport
Expense,189.69,2022-11-14 21:27:32.494381,Transaction for Electricity,Bill & Utilities,Electricity
Income,373.93,2022-10-05 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,366.45,2019-09-02 21:27:32.494381,Transaction for Bonds,Investment,Bonds
Income,785.3,2020-03-31 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,441.44,2019-10-23 21:27:32.494381,Transaction for Gym Membership,Health & Fitness,Gym Membership
Expense,318.86,2022-12-05 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Income,152.45,2021-10-27 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,709.12,2021-12-22 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,157.29,2021-03-05 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,357.05,2019-05-02 21:27:32.494381,Transaction for Phone,Bill & Utilities,Phone
Income,196.63,2022-09-07 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,84.26,2022-10-21 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Income,781.57,2022-03-09 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,205.57,2023-03-13 21:27:32.494381,Transaction for Electronics,Shopping,Electronics
Expense,652.28,2022-05-14 21:27:32.494381,Transaction for Electronics,Shopping,Electronics
Income,744.78,2024-02-03 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,598.47,2019-04-29 21:27:32.494381,Transaction for Groceries,Food and Beverage,Groceries
Income,383.05,2023-06-14 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,376.39,2022-09-27 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,512.18,2021-09-03 21:27:32.494381,Transaction for Medical Expenses,Health & Fitness,Medical Expenses
Expense,434.44,2023-12-11 21:27:32.494381,Transaction for Stocks,Investment,Stocks
Expense,625.84,2021-08-23 21:27:32.494381,Transaction for Electronics,Shopping,Electronics
Income,566.44,2022-06-22 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,613.45,2020-11-14 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,845.46,2023-08-06 21:27:32.494381,Transaction for Restaurants,Food and Beverage,Restaurants
Expense,935.34,2020-09-08 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Income,441.92,2020-09-16 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,840.39,2023-12-09 21:27:32.494381,Transaction for Online Payment,Outgoing Transfer,Online Payment
Expense,583.96,2023-07-05 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Expense,829.36,2022-01-22 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Income,566.22,2022-04-10 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,937.89,2020-02-19 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Expense,739.82,2019-10-24 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Expense,809.71,2020-04-24 21:27:32.494381,Transaction for Fuel,Transportation,Fuel
Income,902.96,2024-01-26 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,575.46,2022-03-14 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,40.27,2023-07-13 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,901.22,2020-10-06 21:27:32.494381,Transaction for Health Insurance,Insurance,Health Insurance
Expense,608.54,2021-12-25 21:27:32.494381,Transaction for Supplies,Education,Supplies
Income,203.22,2021-07-20 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,534.4,2022-09-07 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,48.95,2023-06-15 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Income,527.12,2022-09-24 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,996.53,2021-10-27 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,534.62,2020-01-14 21:27:32.494381,Transaction for Restaurants,Food and Beverage,Restaurants
Income,614.14,2019-11-09 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,462.4,2019-12-31 21:27:32.494381,Transaction for Internet,Bill & Utilities,Internet
Expense,127.57,2022-08-15 21:27:32.494381,Transaction for Stocks,Investment,Stocks
Income,855.65,2020-02-05 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,211.63,2022-02-18 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,749.74,2020-01-08 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Income,595.48,2021-12-11 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,534.8,2021-09-24 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,842.75,2019-07-20 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,683.64,2020-10-03 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,599.81,2019-07-10 21:27:32.494381,Transaction for Water,Bill & Utilities,Water
Income,44.86,2022-12-12 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,407.32,2023-04-29 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,783.86,2021-05-18 21:27:32.494381,Transaction for Childcare,Family,Childcare
Expense,577.09,2022-06-09 21:27:32.494381,Transaction for Tuition,Education,Tuition
Expense,822.32,2024-01-21 21:27:32.494381,Transaction for Gym Membership,Health & Fitness,Gym Membership
Expense,635.68,2020-06-12 21:27:32.494381,Transaction for Electronics,Shopping,Electronics
Income,514.07,2023-03-10 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,947.14,2022-06-28 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,866.69,2022-04-12 21:27:32.494381,Transaction for Events,Entertainment,Events
Income,728.56,2019-07-07 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,271.45,2023-11-09 21:27:32.494381,Transaction for Electronics,Shopping,Electronics
Income,970.18,2019-12-26 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,508.23,2024-01-16 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,554.31,2020-02-09 21:27:32.494381,Transaction for Home Insurance,Insurance,Home Insurance
Expense,657.62,2020-09-22 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Expense,955.18,2022-10-27 21:27:32.494381,Transaction for Stocks,Investment,Stocks
Expense,61.68,2023-01-31 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Income,642.82,2021-10-21 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,271.09,2022-12-11 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,553.2,2022-03-26 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Expense,870.65,2019-10-10 21:27:32.494381,Transaction for Car Insurance,Insurance,Car Insurance
Expense,560.54,2019-05-09 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Income,548.65,2022-08-22 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,504.9,2023-12-06 21:27:32.494381,Transaction for Child Support,Family,Child Support
Income,185.87,2021-02-20 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,688.33,2022-09-24 21:27:32.494381,Transaction for Phone,Bill & Utilities,Phone
Income,243.05,2022-08-17 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,688.25,2024-01-17 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,648.18,2020-03-24 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Expense,325.67,2020-10-21 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Income,412.33,2021-10-31 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,534.89,2021-05-15 21:27:32.494381,Transaction for Childcare,Family,Childcare
Income,880.31,2022-12-16 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,600.11,2020-09-12 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,942.69,2021-05-19 21:27:32.494381,Transaction for Alimony,Family,Alimony
Income,175.04,2023-08-30 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,192.69,2020-06-04 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Expense,282.22,2020-05-31 21:27:32.494381,Transaction for Stocks,Investment,Stocks
Income,143.97,2019-05-13 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
